ID_Produto,Nome_Produto,Marca,Categoria,Custo_Unitario,Preco_Unitario
PROD-0038,Dell Básico Ferramenta Máquina de Café,Dell,Eletrodomésticos,424.54,560.26
PROD-0039,Samsung Sem Fios Unidade Monitor,Samsung,Periféricos,45.27,49.22
PROD-0040,Razer Portátil TV,Razer,Portáteis,628.65,902.35
PROD-0041,Logitech Portátil Monitor,Logitech,Portáteis,1321.31,1650.65
PROD-0042,Sony Multifunções Tablet,Sony,Smart Home,566.86,730.75
PROD-0043,FuturaSystems Pequeno Rato,FuturaSystems,Periféricos,201.09,222.98
PROD-0044,Xiaomi Digital Acessório Máquina de Lavar,Xiaomi,Eletrodomésticos,503.54,581.36
PROD-0045,Canon Eficiente Drone,Canon,Smartphones,280.19,335.64
PROD-0046,Lenovo Versátil Unidade Desktop,Lenovo,Desktops,1509.63,1794.92
PROD-0047,Microsoft Novo Sistema Forno,Microsoft,Eletrodomésticos,253.57,318.91
PROD-0048,Philips Potente Máquina de Café,Philips,Eletrodomésticos,276.76,313.48
PROD-0049,InnovateX Essencial Segurança,InnovateX,Segurança,884.63,1154.11
PROD-0050,TechCorp Silencioso Máquina Webcam,TechCorp,Periféricos,246.33,297.87
PROD-0051,LG Portátil Aparelho Console,LG,Portáteis,1401.07,1766.6
PROD-0052,FuturaSystems Elegante Máquina Máquina de Lavar,FuturaSystems,Eletrodomésticos,647.58,761.71
PROD-0053,Canon Novo Componente Câmara,Canon,Segurança,824.03,1095.31
PROD-0054,Canon Inteligente Unidade Segurança,Canon,Segurança,634.68,762.53
PROD-0055,ElectroZen Conectado Aparelho Projetor,ElectroZen,Periféricos,191.7,216.35
PROD-0056,Lenovo Elegante Monitor,Lenovo,Periféricos,110.85,138.45
PROD-0057,GlobalTech Novo Componente Segurança,GlobalTech,Segurança,578.51,674.07
PROD-0058,HP Ergonómico Painel Segurança,HP,Segurança,172.01,203.15
PROD-0059,Philips Premium Ferramenta Micro-ondas,Philips,Eletrodomésticos,420.28,513.44
PROD-0060,GlobalTech Leve Componente Console,GlobalTech,Wearables,877.78,1138.47
PROD-0061,Dyson Pequeno Unidade Monitor,Dyson,Periféricos,237.3,259.61
PROD-0062,Razer Digital Dispositivo Robô,Razer,Smart Home,350.79,387.28
PROD-0063,InnovateX Moderno Painel Sensor,InnovateX,Segurança,465.37,624.71
PROD-0064,TechCorp Silencioso Central Máquina de Lavar,TechCorp,Eletrodomésticos,226.05,248.82
PROD-0065,TechCorp Conectado Máquina TV,TechCorp,Áudio e Vídeo,378.85,470.92
PROD-0066,LG Pequeno Componente Aspirador,LG,Eletrodomésticos,586.64,728.18
PROD-0067,Canon Novo Painel Máquina de Café,Canon,Eletrodomésticos,535.79,720.81
PROD-0068,Sony Potente Smartwatch,Sony,Wearables,631.51,780.83
PROD-0069,Lenovo Ultra Módulo Auscultadores,Lenovo,Áudio e Vídeo,200.87,213.71
PROD-0070,ElectroZen Premium Ferramenta Iluminação,ElectroZen,Smart Home,392.26,461.63
PROD-0071,Philips Sem Fios Unidade Colunas,Philips,Áudio e Vídeo,137.49,169.36
PROD-0072,InnovateX Eficiente Frigorífico,InnovateX,Eletrodomésticos,700.56,813.34
PROD-0073,LG Portátil Rato,LG,Portáteis,1099.82,1285.68
PROD-0074,Logitech Multifunções Robô,Logitech,Smart Home,733.45,837.81
PROD-0075,HP Ultra Máquina de Lavar,HP,Eletrodomésticos,103.18,132.13
PROD-0076,Philips Leve Micro-ondas,Philips,Eletrodomésticos,480.54,624.03
PROD-0077,FuturaSystems Leve Iluminação,FuturaSystems,Smart Home,182.71,205.94
PROD-0078,Razer Conectado Acessório Colunas,Razer,Áudio e Vídeo,362.56,417.13
PROD-0079,FuturaSystems Moderno Kit Monitor,FuturaSystems,Periféricos,343.1,422.35
PROD-0080,LG Robusto Módulo Teclado,LG,Periféricos,283.9,336.82
PROD-0081,Canon Premium Kit Desktop,Canon,Desktops,1199.57,1640.95
PROD-0082,Razer Robusto Aparelho Console,Razer,Eletrodomésticos,605.64,749.93
PROD-0083,FuturaSystems Robusto Iluminação,FuturaSystems,Smart Home,573.34,708.17
PROD-0084,Microsoft Essencial Central Monitor,Microsoft,Periféricos,317.62,336.34
PROD-0085,ElectroZen Portátil Colunas,ElectroZen,Portáteis,1261.75,1568.63
PROD-0086,InnovateX Elegante Componente Webcam,InnovateX,Periféricos,109.92,119.4
PROD-0087,Apple Elegante Central Webcam,Apple,Periféricos,149.94,180.58
PROD-0088,Philips Versátil Tablet,Philips,Impressoras,819.94,1104.57
PROD-0089,FuturaSystems Avançado Módulo Auscultadores,FuturaSystems,Áudio e Vídeo,69.25,83.78
PROD-0090,Logitech Multifunções Kit Robô,Logitech,Smart Home,335.66,396.31
PROD-0091,Lenovo Robusto Console,Lenovo,Armazenamento,378.88,437.59
PROD-0092,Canon Multifunções Painel TV,Canon,Áudio e Vídeo,361.36,435.65
PROD-0093,Dyson Digital Webcam,Dyson,Periféricos,150.25,164.48
PROD-0094,Logitech Leve Máquina de Café,Logitech,Eletrodomésticos,559.02,719.76
PROD-0095,Microsoft Básico Smartphone,Microsoft,Smartphones,1364.57,1597.64
PROD-0096,ElectroZen Pequeno Teclado,ElectroZen,Periféricos,220.51,267.69
PROD-0097,InnovateX Robusto Kit Teclado,InnovateX,Periféricos,280.82,316.91
PROD-0098,Philips Ergonómico Central Drone,Philips,Redes,675.96,745.06
PROD-0099,Lenovo Essencial Aparelho Micro-ondas,Lenovo,Eletrodomésticos,882.89,974.59
PROD-0100,Dyson Silencioso Forno,Dyson,Eletrodomésticos,637.46,785.16
PROD-0101,FuturaSystems Digital Componente Rato,FuturaSystems,Periféricos,70.01,78.98
PROD-0102,Apple Versátil Micro-ondas,Apple,Eletrodomésticos,873.36,1267.92
PROD-0103,Xiaomi Ultra Dispositivo Disco Externo,Xiaomi,Armazenamento,72.76,79.64
PROD-0104,Samsung Portátil Dispositivo Colunas,Samsung,Portáteis,1783.25,2566.44
PROD-0105,Apple Novo Sensor,Apple,Segurança,568.1,751.15
PROD-0106,InnovateX Sem Fios Rato,InnovateX,Periféricos,277.88,345.13
PROD-0107,Microsoft Compacto Módulo Rato,Microsoft,Periféricos,376.46,418.6
PROD-0108,ElectroZen Avançado Ferramenta Drone,ElectroZen,Smartphones,1171.94,1527.21
PROD-0109,Xiaomi Avançado Impressora,Xiaomi,Impressoras,829.48,1084.26
PROD-0110,Lenovo Multifunções Iluminação,Lenovo,Smart Home,625.86,825.42
PROD-0111,ElectroZen Económico Disco Externo,ElectroZen,Armazenamento,49.85,61.11
PROD-0112,Bosch Sem Fios Painel Monitor,Bosch,Periféricos,226.38,241.47
PROD-0113,Sony Versátil Termostato,Sony,Smart Home,511.21,669.07
PROD-0114,Lenovo Elegante Ferramenta Smartwatch,Lenovo,Wearables,700.66,883.11
PROD-0115,Sony Novo Microfone,Sony,Periféricos,394.59,420.61
PROD-0116,FuturaSystems Conectado Termostato,FuturaSystems,Smart Home,348.72,411.77
PROD-0117,Microsoft Multifunções Unidade Sensor,Microsoft,Segurança,232.67,265.71
PROD-0118,FuturaSystems Silencioso Kit Robô,FuturaSystems,Smart Home,651.1,829.06
PROD-0119,TechCorp Potente Desktop,TechCorp,Desktops,541.36,644.25
PROD-0120,Lenovo Sem Fios Kit Smartphone,Lenovo,Smartphones,367.98,424.27
PROD-0121,Sony Versátil Drone,Sony,Smartphones,290.04,344.03
PROD-0122,HP Eficiente Módulo Robô,HP,Smart Home,770.76,867.97
PROD-0123,Samsung Conectado Unidade TV,Samsung,Áudio e Vídeo,314.11,339.56
PROD-0124,Samsung Ergonómico Smartwatch,Samsung,Wearables,600.3,698.03
PROD-0125,FuturaSystems Pequeno Dispositivo Colunas,FuturaSystems,Áudio e Vídeo,310.26,365.68
PROD-0126,Xiaomi Versátil Smartwatch,Xiaomi,Wearables,84.55,105.33
PROD-0127,Dyson Novo Microfone,Dyson,Periféricos,88.93,99.32
PROD-0128,Canon Premium Segurança,Canon,Segurança,168.13,187.32
PROD-0129,Logitech Inteligente Unidade Rato,Logitech,Periféricos,322.39,342.17
PROD-0130,Samsung Sem Fios Projetor,Samsung,Periféricos,154.77,181.94
PROD-0131,Logitech Ultra Auscultadores,Logitech,Áudio e Vídeo,216.19,228.16
PROD-0132,Microsoft Versátil Sistema Webcam,Microsoft,Periféricos,274.33,295.94
PROD-0133,Apple Silencioso Máquina Drone,Apple,Segurança,609.72,747.62
PROD-0134,Lenovo Compacto Módulo Segurança,Lenovo,Segurança,149.36,195.39
PROD-0135,HP Potente Smartphone,HP,Smartphones,348.48,440.29
PROD-0136,ElectroZen Potente Aparelho Console,ElectroZen,Redes,86.09,100.4
PROD-0137,Dell Portátil Dispositivo Teclado,Dell,Portáteis,360.86,496.12
PROD-0138,Xiaomi Ultra Ferramenta Sensor,Xiaomi,Segurança,173.24,222.17
PROD-0139,InnovateX Eficiente Ferramenta TV,InnovateX,Áudio e Vídeo,66.92,76.22
PROD-0140,Microsoft Sem Fios Acessório Robô,Microsoft,Smart Home,420.0,522.0
PROD-0141,TechCorp Pequeno Smartphone,TechCorp,Smartphones,643.57,758.9
PROD-0142,Lenovo Eficiente Projetor,Lenovo,Periféricos,55.41,64.52
PROD-0143,Razer Essencial Aspirador,Razer,Eletrodomésticos,775.1,973.51
PROD-0144,Lenovo Digital TV,Lenovo,Áudio e Vídeo,239.9,274.68
PROD-0145,Bosch Ergonómico Disco Externo,Bosch,Armazenamento,85.03,93.66
PROD-0146,FuturaSystems Portátil Microfone,FuturaSystems,Portáteis,1490.81,1897.04
PROD-0147,Sony Multifunções Kit Auscultadores,Sony,Áudio e Vídeo,276.87,319.45
PROD-0148,Canon Ergonómico Acessório Forno,Canon,Eletrodomésticos,784.14,1040.27
PROD-0149,Apple Compacto Tablet,Apple,Tvs,1513.86,2121.11
PROD-0150,Bosch Novo Dispositivo Micro-ondas,Bosch,Eletrodomésticos,90.76,110.01
