ID_Campanha,Nome_Campanha,Canal,Data_Inicio,Data_Fim,Custo,Impressoes,Cliques,Conversoes
CAMP-015,Incidunt minus harum.,Email Marketing,2023-09-18 12:49:48,2023-10-09 12:49:48,615.44,72670,3542,196
CAMP-016,Voluptates vitae debitis.,Email Marketing,2024-01-10 14:51:36,2024-02-09 14:51:36,6369.04,541996,29023,684
CAMP-017,Voluptates recusandae veniam possimus.,Google Ads,2024-02-29 18:08:49,2024-04-21 18:08:49,2301.46,533698,7564,560
CAMP-018,Error velit.,Outdoors,2024-04-04 16:35:36,2024-04-12 16:35:36,867.7,131806,4759,416
CAMP-019,Quasi praesentium illum quis.,Influencers,2023-12-26 19:47:18,2024-02-20 19:47:18,7773.55,214498,10389,449
CAMP-020,Iste expedita.,Email Marketing,2024-11-27 18:10:06,2024-12-07 18:10:06,8950.36,226011,6642,503
CAMP-021,Perferendis rem.,Redes Sociais,2024-03-25 19:11:14,2024-04-26 19:11:14,6690.26,653099,30202,2475
CAMP-022,Rem fuga mollitia exercitationem velit.,Influencers,2023-12-10 02:17:31,2023-12-26 02:17:31,5179.31,459824,4930,403
CAMP-023,Vero placeat aliquid possimus temporibus.,Outdoors,2023-07-29 10:40:09,2023-08-30 10:40:09,6400.58,632913,26752,1514
CAMP-024,Placeat quaerat dolorum.,Redes Sociais,2024-10-17 06:05:41,2024-12-04 06:05:41,3632.54,325458,25219,1708
CAMP-025,Unde laboriosam fugit dolore.,Outdoors,2024-01-03 04:41:06,2024-02-10 04:41:06,2127.69,233109,14337,526
CAMP-026,Necessitatibus cupiditate ipsa qui quisquam.,SEO,2024-02-02 12:14:09,2024-03-04 12:14:09,3081.15,433555,39181,1179
CAMP-027,Dolorum delectus.,Marketing de Conteúdo,2024-05-19 23:23:13,2024-07-18 23:23:13,6021.3,535507,49886,4576
CAMP-028,Iusto deleniti amet fuga.,Email Marketing,2024-06-04 01:58:41,2024-07-08 01:58:41,595.28,406276,29138,1361
CAMP-029,Dicta vero qui.,Google Ads,2023-06-05 19:25:19,2023-06-22 19:25:19,3371.84,464202,19960,1740
CAMP-030,Sint tenetur corrupti.,Influencers,2023-04-18 12:43:21,2023-06-16 12:43:21,4582.03,333887,14256,564
CAMP-031,Adipisci veritatis debitis animi expedita.,Google Ads,2024-05-19 14:47:12,2024-07-07 14:47:12,4135.56,173891,4499,223
CAMP-032,Repudiandae consectetur fugiat deleniti temporibus.,Marketing de Conteúdo,2023-06-21 07:11:05,2023-07-09 07:11:05,7767.83,154890,1661,157
CAMP-033,Perspiciatis nemo.,SEO,2023-03-27 12:31:21,2023-05-08 12:31:21,5478.96,709726,56552,5632
CAMP-034,Porro consequuntur quis accusamus numquam.,Google Ads,2024-07-18 12:57:57,2024-08-08 12:57:57,1483.7,809599,36201,1017
CAMP-035,Id aspernatur.,Google Ads,2024-11-03 20:38:18,2024-11-19 20:38:18,4800.99,712797,33634,1250
CAMP-036,Nam autem blanditiis.,Marketing de Conteúdo,2024-05-02 07:12:46,2024-06-02 07:12:46,2694.99,981022,53850,5252
CAMP-037,Nostrum architecto doloremque.,SEO,2023-07-20 13:23:12,2023-08-06 13:23:12,8479.05,333188,23073,1157
CAMP-038,Veniam optio.,Email Marketing,2024-10-26 16:49:09,2024-12-10 16:49:09,1551.21,594396,46229,2581
CAMP-039,Rem iusto necessitatibus.,Influencers,2024-03-19 21:07:14,2024-04-16 21:07:14,7658.76,493787,42722,2965
CAMP-040,Accusamus occaecati aliquid.,Marketing de Conteúdo,2024-05-15 05:40:21,2024-07-13 05:40:21,1602.72,335271,22316,1743
CAMP-041,Optio nemo culpa incidunt.,Redes Sociais,2023-09-29 18:42:32,2023-10-16 18:42:32,853.76,692336,24992,1244
CAMP-042,Ipsum assumenda reprehenderit nostrum voluptates.,SEO,2023-11-09 03:58:41,2023-11-29 03:58:41,7972.08,260723,24453,1434
CAMP-043,Fuga animi illum.,SEO,2024-11-11 01:07:17,2025-01-02 01:07:17,8538.49,583237,32300,1125
CAMP-044,Quod perspiciatis rerum.,Marketing de Conteúdo,2024-09-22 08:43:57,2024-10-19 08:43:57,3293.71,608121,53098,4233
CAMP-045,Optio ad.,Redes Sociais,2023-03-17 06:37:19,2023-04-23 06:37:19,6782.72,398610,24911,1041
CAMP-046,Tempora suscipit.,Redes Sociais,2024-10-19 18:11:04,2024-10-28 18:11:04,4782.04,389601,27088,1956
CAMP-047,Laboriosam laboriosam.,Google Ads,2023-07-17 16:27:15,2023-07-26 16:27:15,3898.92,960090,63922,3555
CAMP-048,Laboriosam voluptatum esse consequuntur.,Google Ads,2024-06-10 05:48:25,2024-06-19 05:48:25,1611.79,294730,20713,805
CAMP-049,Consequatur possimus minus consequuntur nemo.,Influencers,2024-11-30 03:47:46,2025-01-22 03:47:46,8398.9,958612,22297,764
CAMP-050,Ratione beatae quaerat.,SEO,2023-11-25 21:31:13,2023-12-02 21:31:13,1081.83,231024,19196,539
